Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
470.600000	27.664530	17.543666
470.700000	27.649653	17.553423
470.800000	27.634839	17.568277
470.900000	27.620088	17.589542
471.000000	27.605401	17.725136
471.100000	27.590775	17.754855
471.200000	27.576213	17.770634
471.300000	27.561713	17.787020
471.400000	27.547275	17.812536
471.500000	27.532900	17.839364
471.600000	27.518586	17.864994
471.700000	27.504334	17.887294
471.800000	27.490148	17.904592
471.900000	27.476033	17.917918
472.000000	27.461990	17.928836
472.100000	27.448016	17.938873
472.200000	27.434109	17.949553
472.300000	27.420268	17.962402
472.400000	27.406490	17.978946
472.500000	27.392773	18.002206
472.600000	27.379116	18.051497
472.700000	27.365517	18.096353
472.800000	27.351973	18.121075
472.900000	27.338483	18.140487
473.000000	27.325045	18.157008
473.100000	27.311657	18.173051
473.200000	27.298317	18.191035
473.300000	27.285023	18.213004
473.400000	27.271773	18.237890
473.500000	27.258565	18.263082
473.600000	27.245398	18.285955
473.700000	27.232268	18.304213
473.800000	27.219176	18.319423
473.900000	27.206117	18.332822
474.000000	27.193091	18.345055
474.100000	27.180096	18.356762
474.200000	27.167129	18.368588
474.300000	27.154190	18.381178
474.400000	27.141275	18.395173
474.500000	27.128382	18.408353
474.600000	27.115511	18.417069
474.700000	27.102659	18.426212
474.800000	27.089824	18.440986
474.900000	27.077004	18.466594
475.000000	27.064197	18.574333
475.100000	27.051401	18.632376
475.200000	27.038615	18.653697
475.300000	27.025837	18.665773
475.400000	27.013063	18.673131
475.500000	27.000294	18.680295
475.600000	26.987528	18.691795
475.700000	26.974769	18.712067
475.800000	26.962019	18.741203
475.900000	26.949278	18.773247
476.000000	26.936547	18.801810
476.100000	26.923829	18.825494
476.200000	26.911124	18.847822
476.300000	26.898433	18.868532
476.400000	26.885758	18.887358
476.500000	26.873100	18.904030
476.600000	26.860461	18.918247
476.700000	26.847841	18.930365
476.800000	26.835242	18.941093
476.900000	26.822665	18.951144
477.000000	26.810111	18.961231
477.100000	26.797582	18.972063
477.200000	26.785079	18.984354
477.300000	26.772603	18.998814
477.400000	26.760156	19.017118
477.500000	26.747738	19.041755
477.600000	26.735352	19.069332
477.700000	26.722997	19.095958
477.800000	26.710677	19.118932
477.900000	26.698391	19.141200
478.000000	26.686141	19.162648
478.100000	26.673928	19.182566
478.200000	26.661754	19.200245
478.300000	26.649620	19.215183
478.400000	26.637527	19.228166
478.500000	26.625477	19.239732
478.600000	26.613470	19.250319
